Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_limit_Low,Confidence_limit_High,Break_Out_Category,Break_Out,CategoryId,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),17.0,17.0,,,16.5,17.5,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),23.1,23.1,,,22.4,23.9,Gender,Male,C1,T1,HC101,Crude,BOC02,GEN01,59,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),13.2,13.2,,,12.8,13.6,Gender,Female,C1,T1,HC101,Crude,BOC02,GEN02,59,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),0.8,0.8,,,0.8,0.9,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),3.9,3.9,,,3.8,4.2,Age,25-44,C1,T1,HC101,Crude,BOC03,AGE04,59,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),19.2,19.2,,,18.6,19.8,Age,45-64,C1,T1,HC101,Crude,BOC03,AGE05,59,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),26.5,26.5,,,25.9,27.1,Age,65+,C1,T1,HC101,Crude,BOC03,AGE06,59,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),21.1,21.1,,,20.5,21.6,Age,35+,C1,T1,HC101,Crude,BOC03,AGE07,59,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),26.5,26.5,,,26.0,27.0,Age,75+,C1,T1,HC101,Crude,BOC03,AGE08,59,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),16.5,16.5,,,15.9,17.0,Overall,Overall,C1,T1,HC101,Crude,BOC01,OVR01,59,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),22.6,22.6,,,21.8,23.4,Gender,Male,C1,T1,HC101,Crude,BOC02,GEN01,59,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),12.6,12.6,,,12.2,13.0,Gender,Female,C1,T1,HC101,Crude,BOC02,GEN02,59,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+); HCUP-NIS",Crude,Percent (%),0.9,0.9,,,0.8,1.0,Age,18-24,C1,T1,HC101,Crude,BOC03,AGE01,59,
