Year,IndicatorID,BreakOutCategoryId,BreakOutId,LocationID
2004,HC101,BOC01,OVR01,59
2004,HC101,BOC02,GEN01,59
2004,HC101,BOC03,AGE01,59
2004,HC101,BOC03,AGE04,59
2004,HC101,BOC03,AGE05,59
2004,HC101,BOC03,AGE06,59
2004,HC101,BOC03,AGE07,59
2004,HC101,BOC03,AGE08,59
2005,HC101,BOC01,OVR01,59
2005,HC101,BOC02,GEN01,59
2005,HC101,BOC02,GEN02,59
2005,HC101,BOC03,AGE01,59
2005,HC101,BOC03,AGE04,59
2005,HC101,BOC03,AGE05,59
2005,HC101,BOC03,AGE06,59
2005,HC101,BOC03,AGE07,59
2005,HC101,BOC03,AGE08,59
2006,HC101,BOC01,OVR01,59
2006,HC101,BOC02,GEN01,59
2006,HC101,BOC02,GEN02,59
2006,HC101,BOC03,AGE01,59
2006,HC101,BOC03,AGE04,59
2006,HC101,BOC03,AGE05,59
2006,HC101,BOC03,AGE06,59
2006,HC101,BOC03,AGE07,59
2006,HC101,BOC03,AGE08,59
2007,HC101,BOC01,OVR01,59
2007,HC101,BOC02,GEN01,59
2007,HC101,BOC02,GEN02,59
2007,HC101,BOC03,AGE01,59
2007,HC101,BOC03,AGE04,59
2007,HC101,BOC03,AGE05,59
2007,HC101,BOC03,AGE06,59
2007,HC101,BOC03,AGE07,59
2007,HC101,BOC03,AGE08,59
2008,HC101,BOC01,OVR01,59
2008,HC101,BOC02,GEN01,59
2008,HC101,BOC02,GEN02,59
2008,HC101,BOC03,AGE01,59
2008,HC101,BOC03,AGE04,59
2008,HC101,BOC03,AGE05,59
2008,HC101,BOC03,AGE06,59
2008,HC101,BOC03,AGE07,59
2008,HC101,BOC03,AGE08,59
2009,HC101,BOC01,OVR01,59
2009,HC101,BOC02,GEN01,59
2009,HC101,BOC02,GEN02,59
2009,HC101,BOC03,AGE01,59
2009,HC101,BOC03,AGE04,59
2009,HC101,BOC03,AGE05,59
2009,HC101,BOC03,AGE06,59
2009,HC101,BOC03,AGE07,59
2009,HC101,BOC03,AGE08,59
2010,HC101,BOC01,OVR01,59
2010,HC101,BOC02,GEN01,59
2010,HC101,BOC02,GEN02,59
2010,HC101,BOC03,AGE01,59
2010,HC101,BOC03,AGE04,59
2010,HC101,BOC03,AGE05,59
2010,HC101,BOC03,AGE06,59
2010,HC101,BOC03,AGE07,59
2010,HC101,BOC03,AGE08,59
2011,HC101,BOC01,OVR01,59
2011,HC101,BOC02,GEN01,59
2011,HC101,BOC02,GEN02,59
2011,HC101,BOC03,AGE01,59
2011,HC101,BOC03,AGE04,59
2011,HC101,BOC03,AGE05,59
2011,HC101,BOC03,AGE06,59
2011,HC101,BOC03,AGE07,59
2011,HC101,BOC03,AGE08,59
2012,HC101,BOC01,OVR01,59
2012,HC101,BOC02,GEN01,59
2012,HC101,BOC02,GEN02,59
2012,HC101,BOC03,AGE01,59
2012,HC101,BOC03,AGE04,59
2012,HC101,BOC03,AGE05,59
2012,HC101,BOC03,AGE06,59
2012,HC101,BOC03,AGE07,59
2012,HC101,BOC03,AGE08,59
2013,HC101,BOC01,OVR01,59
2013,HC101,BOC02,GEN01,59
2013,HC101,BOC02,GEN02,59
2013,HC101,BOC03,AGE01,59
2013,HC101,BOC03,AGE04,59
2013,HC101,BOC03,AGE05,59
2013,HC101,BOC03,AGE06,59
2013,HC101,BOC03,AGE07,59
2013,HC101,BOC03,AGE08,59
2004,HC103,BOC01,OVR01,59
2004,HC103,BOC02,GEN01,59
2004,HC103,BOC02,GEN02,59
2004,HC103,BOC03,AGE01,59
2004,HC103,BOC03,AGE04,59
2004,HC103,BOC03,AGE05,59
2004,HC103,BOC03,AGE06,59
2004,HC103,BOC03,AGE07,59
2004,HC103,BOC03,AGE08,59
2005,HC103,BOC01,OVR01,59
2005,HC103,BOC02,GEN01,59
2005,HC103,BOC02,GEN02,59
2005,HC103,BOC03,AGE01,59
2005,HC103,BOC03,AGE04,59
2005,HC103,BOC03,AGE05,59
2005,HC103,BOC03,AGE06,59
2005,HC103,BOC03,AGE07,59
2005,HC103,BOC03,AGE08,59
2006,HC103,BOC01,OVR01,59
2006,HC103,BOC02,GEN01,59
2006,HC103,BOC02,GEN02,59
2006,HC103,BOC03,AGE01,59
2006,HC103,BOC03,AGE04,59
2006,HC103,BOC03,AGE05,59
2006,HC103,BOC03,AGE06,59
2006,HC103,BOC03,AGE07,59
2006,HC103,BOC03,AGE08,59
2007,HC103,BOC01,OVR01,59
2007,HC103,BOC02,GEN01,59
2007,HC103,BOC02,GEN02,59
2007,HC103,BOC03,AGE01,59
2007,HC103,BOC03,AGE04,59
2007,HC103,BOC03,AGE05,59
2007,HC103,BOC03,AGE06,59
2007,HC103,BOC03,AGE07,59
2007,HC103,BOC03,AGE08,59
2008,HC103,BOC01,OVR01,59
2008,HC103,BOC02,GEN01,59
2008,HC103,BOC02,GEN02,59
2008,HC103,BOC03,AGE01,59
2008,HC103,BOC03,AGE04,59
2008,HC103,BOC03,AGE05,59
2008,HC103,BOC03,AGE06,59
2008,HC103,BOC03,AGE07,59
2008,HC103,BOC03,AGE08,59
2009,HC103,BOC01,OVR01,59
2009,HC103,BOC02,GEN01,59
2009,HC103,BOC02,GEN02,59
2009,HC103,BOC03,AGE01,59
2009,HC103,BOC03,AGE04,59
2009,HC103,BOC03,AGE05,59
2009,HC103,BOC03,AGE06,59
2009,HC103,BOC03,AGE07,59
2009,HC103,BOC03,AGE08,59
2010,HC103,BOC01,OVR01,59
2010,HC103,BOC02,GEN01,59
2010,HC103,BOC02,GEN02,59
2010,HC103,BOC03,AGE01,59
2010,HC103,BOC03,AGE04,59
2010,HC103,BOC03,AGE05,59
2010,HC103,BOC03,AGE06,59
2010,HC103,BOC03,AGE07,59
2010,HC103,BOC03,AGE08,59
2011,HC103,BOC01,OVR01,59
2011,HC103,BOC02,GEN01,59
2011,HC103,BOC02,GEN02,59
2011,HC103,BOC03,AGE01,59
2011,HC103,BOC03,AGE04,59
2011,HC103,BOC03,AGE05,59
2011,HC103,BOC03,AGE06,59
2011,HC103,BOC03,AGE07,59
2011,HC103,BOC03,AGE08,59
2012,HC103,BOC01,OVR01,59
2012,HC103,BOC02,GEN01,59
2012,HC103,BOC02,GEN02,59
2012,HC103,BOC03,AGE01,59
2012,HC103,BOC03,AGE04,59
